Facebook, Instagram,YouTube,Google Trend Web Search  - one year 
93,36,90,2021-01-03 00:00:00
89,35,88,2021-01-10 00:00:00
89,33,89,2021-01-17 00:00:00
91,33,93,2021-01-24 00:00:00
89,35,92,2021-01-31 00:00:00
85,33,88,2021-02-07 00:00:00
88,34,91,2021-02-14 00:00:00
87,34,94,2021-02-21 00:00:00
88,34,91,2021-02-28 00:00:00
85,34,92,2021-03-07 00:00:00
85,35,87,2021-03-14 00:00:00
84,33,89,2021-03-21 00:00:00
85,34,87,2021-03-28 00:00:00
91,35,85,2021-04-04 00:00:00
84,35,86,2021-04-11 00:00:00
81,35,88,2021-04-18 00:00:00
85,34,88,2021-04-25 00:00:00
81,36,86,2021-05-02 00:00:00
85,35,86,2021-05-09 00:00:00
83,33,85,2021-05-16 00:00:00
80,36,89,2021-05-23 00:00:00
83,35,86,2021-05-30 00:00:00
83,35,89,2021-06-06 00:00:00
77,33,77,2021-06-13 00:00:00
84,35,86,2021-06-20 00:00:00
81,32,83,2021-06-27 00:00:00
83,34,83,2021-07-04 00:00:00
83,36,85,2021-07-11 00:00:00
82,35,82,2021-07-18 00:00:00
82,34,84,2021-07-25 00:00:00
78,34,79,2021-08-01 00:00:00
76,35,80,2021-08-08 00:00:00
76,34,81,2021-08-15 00:00:00
73,35,84,2021-08-22 00:00:00
78,34,86,2021-08-29 00:00:00
80,35,86,2021-09-05 00:00:00
79,33,86,2021-09-12 00:00:00
79,33,86,2021-09-19 00:00:00
78,32,79,2021-09-26 00:00:00
100,42,83,2021-10-03 00:00:00
79,34,86,2021-10-10 00:00:00
74,34,83,2021-10-17 00:00:00
74,31,84,2021-10-24 00:00:00
87,32,82,2021-10-31 00:00:00
75,33,79,2021-11-07 00:00:00
70,35,85,2021-11-14 00:00:00
75,32,86,2021-11-21 00:00:00
70,32,87,2021-11-28 00:00:00
73,32,87,2021-12-05 00:00:00
73,34,90,2021-12-12 00:00:00
75,34,92,2021-12-19 00:00:00
74,35,87,2021-12-26 00:00:00
68,34,83,2022-01-02 00:00:00
68,31,82,2022-01-09 00:00:00
67,31,85,2022-01-16 00:00:00
64,32,82,2022-01-23 00:00:00
69,33,89,2022-01-30 00:00:00
67,33,83,2022-02-06 00:00:00
66,34,80,2022-02-13 00:00:00
66,34,79,2022-02-20 00:00:00
69,33,82,2022-02-27 00:00:00
66,32,81,2022-03-06 00:00:00
65,34,87,2022-03-13 00:00:00
65,34,80,2022-03-20 00:00:00
64,35,74,2022-03-27 00:00:00
67,36,79,2022-04-03 00:00:00
66,37,80,2022-04-10 00:00:00
63,38,80,2022-04-17 00:00:00
64,35,80,2022-04-24 00:00:00
67,37,79,2022-05-01 00:00:00
66,39,81,2022-05-08 00:00:00
70,38,83,2022-05-15 00:00:00
68,40,84,2022-05-22 00:00:00
67,39,82,2022-05-29 00:00:00
66,36,84,2022-06-05 00:00:00
69,38,83,2022-06-12 00:00:00
73,40,85,2022-06-19 00:00:00
66,39,82,2022-06-26 00:00:00
67,37,79,2022-07-03 00:00:00
67,38,82,2022-07-10 00:00:00
70,39,78,2022-07-17 00:00:00
67,38,78,2022-07-24 00:00:00
65,38,77,2022-07-31 00:00:00
65,42,77,2022-08-07 00:00:00
67,36,77,2022-08-14 00:00:00
65,37,78,2022-08-21 00:00:00
67,37,79,2022-08-28 00:00:00
63,35,82,2022-09-04 00:00:00
64,36,78,2022-09-11 00:00:00
63,36,80,2022-09-18 00:00:00
64,38,80,2022-09-25 00:00:00
61,38,79,2022-10-02 00:00:00
64,36,83,2022-10-09 00:00:00
62,33,80,2022-10-16 00:00:00
62,37,79,2022-10-23 00:00:00
64,38,78,2022-10-30 00:00:00
60,34,80,2022-11-06 00:00:00
61,36,81,2022-11-13 00:00:00
61,34,75,2022-11-20 00:00:00
59,36,77,2022-11-27 00:00:00
58,35,78,2022-12-04 00:00:00
64,37,80,2022-12-11 00:00:00
63,39,79,2022-12-18 00:00:00
61,40,80,2022-12-25 00:00:00
62,39,74,2023-01-01 00:00:00
59,39,77,2023-01-08 00:00:00
60,37,79,2023-01-15 00:00:00
59,38,81,2023-01-22 00:00:00
61,39,82,2023-01-29 00:00:00
61,41,81,2023-02-05 00:00:00
